,question,groundtruth,chatbot_response,similar_questions,accuracy
56,Bảo tàng quản lý bao nhiêu hiện vật?,31.360,Bảo tàng quản lý 31.360 hiện vật.,"['Bảo tàng có bao nhiêu hiện vật?', 'Số lượng hiện vật trong bảo tàng là bao nhiêu?', 'Hiện vật trong bảo tàng được quản lý bao nhiêu?']",1
57,Hiện vật văn hóa chiếm bao nhiêu phần trăm?,hơn 1/3,Hơn 1/3 hiện vật trong bảo tàng là hiện vật văn hóa.,"['Có bao nhiêu hiện vật trong bảo tàng?', 'Bảo tàng có chia hiện vật thành bao nhiêu sưu tập?', 'Bảo tàng có bảo quản hiện vật như thế nào?']",1
58,Bảo tàng đã thu hút được bao nhiêu lượt khách đến tham quan?,hơn 3 triệu,"Đến nay, đã có hơn 3 triệu lượt khách đến tham quan và tham gia những hoạt động của Bảo tàng trong đó có hơn 4.000 đoàn khách trong nước và gần 1.500 đoàn khách quốc tế, trên 50 đoàn lãnh đạo cao cấp trong và ngoài nước.","['Bảo tàng đã thu hút được bao nhiêu lượt khách trong năm nay?', 'Bảo tàng có bao nhiêu lượt khách đến tham quan hàng năm?', 'Số lượng khách tham quan Bảo tàng là bao nhiêu?']",1
59,Hồ Con Rùa được trùng tu và chỉnh trang trong những năm nào?,Hồ Con Rùa được trùng tu và chỉnh trang trong những năm 1970 đến 1974.,Trong những năm 1970 đến 1974,"['Hồ Con Rùa được trùng tu và chỉnh trang trong thời gian nào?', 'Khi nào Hồ Con Rùa được trùng tu và chỉnh trang?', 'Trùng tu và chỉnh trang Hồ Con Rùa diễn ra vào thời gian nào?']",1
60,"Bom bi đánh xe cơ giới, tàu hỏa, tàu xuồng vật liệu, sát thương người, súc vật ở ngoài công sự và công sự không có nắp?",Đúng,"Bom bi đánh xe cơ giới, tàu hỏa, tàu xuồng vật liệu, sát thương người, súc vật ở ngoài công sự và công sự không có nắp là một trong những hiện vật chiến tranh được trưng bày tại Khu tái hiện vùng giải phóng Củ Chi ở Việt Nam.","['Có những hiện vật chiến tranh nào được trưng bày tại Khu tái hiện vùng giải phóng Củ Chi?', 'Ở đâu có thể tham quan những hiện vật chiến tranh ở Việt Nam?', 'Có những loại vũ khí nào được trưng bày tại Khu tái hiện vùng giải phóng Củ Chi?']",1
61,Chuyên đề Hậu quả chất độc da cam trong chiến tranh Việt Nam có bao nhiêu hiện vật?,20,Chuyên đề Hậu quả chất độc da cam trong chiến tranh Việt Nam có 20 hiện vật.,"['Bảo tàng Chứng tích chiến tranh có bao nhiêu chuyên đề?', 'Chuyên đề Hậu quả chất độc da cam trong chiến tranh Việt Nam trưng bày những gì?', 'Bảo tàng Chứng tích chiến tranh có địa chỉ ở đâu?']",1
62,Phố đi bộ Nguyễn Huệ có thể kết nối đến những địa điểm du lịch nào?,"Nhà hát Thành phố, Bảo tàng Thành phố Hồ Chí Minh, Bảo tàng Hồ Chí Minh - Chi nhánh Thành phố Hồ Chí Minh, Vincom Đồng Khởi, chợ Bến Thành, Phố đi bộ Bùi Viện và Bitexco Financial Tower.","Phố đi bộ Nguyễn Huệ có thể kết nối đến nhiều địa điểm du lịch nổi tiếng như Nhà thờ Đức Bà Sài Gòn, Bảo tàng Mỹ thuật TP.HCM, Nhà hát Thành phố Hồ Chí Minh, Dinh Độc Lập, Bưu điện Trung tâm TP.HCM, Chợ Bến Thành và nhiều khách sạn, nhà hàng, cửa hàng mua sắm khác.","['Có những địa điểm du lịch nào gần Phố đi bộ Nguyễn Huệ?', 'Phố đi bộ Nguyễn Huệ có gần chợ Bến Thành không?', 'Có những khách sạn nào gần Phố đi bộ Nguyễn Huệ?']",1
63,Cầu Cửu khúc còn được gọi là gì?,Cầu 9 đoạn,Cầu Cửu khúc còn được gọi là Cầu Vàng.,"['Cầu Cửu khúc nối liền hai quận nào?', 'Cầu Cửu khúc hoàn thành vào năm nào?', 'Cầu Cửu khúc có nhịp chính dài nhất khu vực nào?']",0
64,Thảo Cầm Viên còn được gọi là gì?,Sở Thú,Thảo Cầm Viên còn được gọi là Sở Thú.,"['Thảo Cầm Viên có tên gọi khác không?', 'Sở Thú Sài Gòn là công trình lịch sử nào?', 'Thành phố Hồ Chí Minh có công viên nào lâu đời nhất?']",1
65,Khu vực mái bằng nào trong Landmark 81 được xem là đài quan sát ngoài trời cao thứ 5 trên thế giới?,Khu vực mái bằng SkyTouch,Khu vực mái bằng ngoài trời cao 383m SkyTouch trong Landmark 81 được xem là đài quan sát ngoài trời cao thứ 5 trên thế giới.,"['Landmark 81 có khu vực mái bằng nào được xem là đài quan sát ngoài trời cao thứ 5 trên thế giới?', 'Trong Landmark 81, khu vực mái bằng nào được xem là đài quan sát ngoài trời cao thứ 5 trên thế giới?', 'Đài quan sát ngoài trời cao thứ 5 trên thế giới nằm ở khu vực mái bằng nào trong Landmark 81?']",1
66,Bảo tàng Áo dài có mức giá vé là bao nhiêu?,100.000 đồng/1 khách,"Giá vé tham quan Bảo tàng Áo Dài là 100.000 đồng, học sinh - sinh viên là 50.000 đồng, miễn phí cho trẻ dưới 6 tuổi và người trên 70 tuổi.","['Bảo tàng Áo Dài ở đâu?', 'Thời gian hoạt động của Bảo tàng Áo Dài là khi nào?', 'Bảo tàng Áo Dài có diện tích bao nhiêu?']",1
67,Chợ đêm diễn ra từ lúc nào tại Chợ Bến Thành?,19:00,Chợ đêm diễn ra từ 19:00,"['Chợ Bến Thành hoạt động từ mấy giờ đến mấy giờ?', 'Khi nào có chợ đêm tại Chợ Bến Thành?', 'Thời gian diễn ra chợ đêm ở Chợ Bến Thành là khi nào?']",1
68,Tình cảm của Bác Hồ dành cho cán bộ chiến sĩ miền Nam là gì?,Tình cảm của Bác Hồ dành cho cán bộ chiến sĩ miền Nam là sâu sắc.,"Tình cảm của Bác Hồ dành cho cán bộ chiến sĩ miền Nam là tình cảm thiêng liêng, cao quý. Ngày đêm Người luôn quan tâm đến sự ngiệp giải phóng miền Nam thống nhất Tổ quốc.","['Bác Hồ có quan tâm đến cán bộ chiến sĩ miền Nam không?', 'Tình cảm của Bác Hồ với miền Nam như thế nào?', 'Bác Hồ đã làm gì để thể hiện tình cảm với cán bộ chiến sĩ miền Nam?']",1
69,Địa chỉ của GEM Center là gì?,"Địa chỉ của GEM Center là 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","Địa chỉ của GEM Center là 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","['GEM Center nằm ở đâu?', 'Địa chỉ GEM Center ở thành phố nào?', 'GEM Center ở quận mấy?']",1
70,Hệ thống hầm bí mật của Biệt động Sài Gòn tồn tại ở đâu?,Ngay giữa lòng thành phố.,"Hệ thống hầm bí mật của Biệt động Sài Gòn tồn tại tại địa chỉ 287/70-72-74 Nguyễn Đình Chiểu, Quận 3, TP.HCM.","['Hầm bí mật của Biệt động Sài Gòn nằm ở đâu?', 'Địa chỉ hệ thống hầm bí mật của Biệt động Sài Gòn là gì?', 'Hầm chứa vũ khí bí mật của Biệt động Sài Gòn nằm ở đâu?']",1
71,"Về đêm, chợ Bến Thành có những gì?","Về đêm, chợ Bến Thành có hơn 100 quầy hàng bán quà lưu niệm, quần áo thời trang và món ăn phong cách đường phố.","Về đêm, chợ Bến Thành rất sôi động với hơn 100 quầy hàng bán quà lưu niệm, quần áo thời trang và món ăn phong cách đường phố. Bạn có thể tìm thấy nhiều món ăn ngon như chè, bánh tráng trộn, hủ tiếu, bánh xèo và nhiều món ăn khác. Ngoài ra, bạn cũng có thể mua được các sản phẩm thủ công mỹ nghệ, quần áo, túi xách, đồ trang sức và nhiều mặt hàng khác.","['Chợ Bến Thành có hoạt động đến mấy giờ?', 'Chợ Bến Thành nằm ở đâu?', 'Chợ Bến Thành có những mặt hàng gì?']",1
72,Bảo tàng Lịch sử - thành phố Hồ Chí Minh có những hiện vật độc nhất nào?,Bức tượng Devi Hương Quế và nhiều tượng Phật bằng đồng,"Bảo tàng Lịch sử - thành phố Hồ Chí Minh có hiện vật độc nhất là xác ướp Xóm Cải, một nữ quý tộc sống thời vương triều Nguyễn, triều đại phong kiến cuối cùng trong lịch sử Việt Nam.","['Bảo tàng Lịch sử - thành phố Hồ Chí Minh có bao nhiêu hiện vật?', 'Bảo tàng Lịch sử - thành phố Hồ Chí Minh nằm ở địa chỉ nào?', 'Thời gian hoạt động của Bảo tàng Lịch sử - thành phố Hồ Chí Minh là khi nào?']",0
73,Địa chỉ của Bảo tàng Chứng tích chiến tranh ở đâu?,"Địa chỉ của Bảo tàng Chứng tích chiến tranh là 26, đường Võ Văn Tần, phường Võ Thị Sáu, Quận 3","Bảo tàng Chứng tích chiến tranh nằm tại địa chỉ 26, đường Võ Văn Tần, phường Võ Thị Sáu, Quận 3.","['Thời gian hoạt động của Bảo tàng Chứng tích chiến tranh là khi nào?', 'Bảo tàng Chứng tích chiến tranh có bộ sưu tập gì?', 'Bảo tàng Chứng tích chiến tranh có những chuyên đề trưng bày nào?']",1
74,GEM Center có thể làm không gian choáng ngợp cho loại sự kiện nào?,Dạ tiệc cả ngàn khách,"GEM Center có thể làm không gian choáng ngợp cho dạ tiệc cả ngàn khách, sân khấu âm nhạc sôi động và sàn diễn thời trang hoành tráng.","['GEM Center có thể làm không gian choáng ngợp cho hội thảo không?', 'GEM Center có thể làm không gian choáng ngợp cho triển lãm không?', 'GEM Center có thể làm không gian choáng ngợp cho sự kiện nhỏ không?']",1
75,Những nền văn hóa trong thời kỳ ba nền văn hoá có quan hệ như thế nào với nhau?,"Có quan hệ mật thiết, lâu dài với nhau","Ba nền văn hóa trong thời kỳ ba nền văn hoá (Văn Lang - Âu Lạc, Lâm Ấp, Phù Nam) có quan hệ mật thiết, lâu dài với nhau. Mỗi nền văn hóa đóng góp vào sự hình thành và phát triển của văn hóa Việt Nam thống nhất sau này. Quan hệ này được thể hiện qua sự giao thương mạnh mẽ và trao đổi văn hóa giữa các khu vực, đồng thời cũng có sự ảnh hưởng và tương tác với các nền văn minh lớn như Trung Quốc và Ấn Độ.","['Các nền văn hóa trong thời kỳ ba nền văn hoá có gì đặc sắc?', 'Các nền văn hóa trong thời kỳ ba nền văn hoá có quan hệ thế nào với Trung Quốc và Ấn Độ?', 'Các nền văn hóa trong thời kỳ ba nền văn hoá có ảnh hưởng như thế nào đến văn hóa Việt Nam sau này?']",1
76,Bảo tàng Áo dài giới thiệu những loại áo dài nào?,"Áo dài Hippy, Áo dài vẽ, Áo dài thổ cẩm, Áo dài hội nhập quốc tế","Bảo tàng Áo dài giới thiệu nhiều loại áo dài như Áo dài Hippy, Áo dài vẽ, Áo dài thổ cẩm, Áo dài hội nhập quốc tế và còn có không gian trưng bày áo dài của các nhân vật nổi tiếng.","['Bảo tàng Áo dài có trưng bày những loại áo dài nào?', 'Có những loại áo dài nào được trưng bày tại Bảo tàng Áo dài?', 'Bảo tàng Áo dài có giới thiệu những mẫu áo dài nào?']",1
77,Hươu cao cổ ăn gì?,Hươu cao cổ ăn lá cây keo.,Hươu cao cổ ăn lá cây keo.,"['Hươu cao cổ sống ở đâu?', 'Hươu cao cổ có thể chạy nhanh không?', 'Hươu cao cổ có thể sống ở những nơi khô cằn không?']",1
78,Đường Nguyễn Huệ trước đây là kênh đào nào?,Chợ Vải,Đường Nguyễn Huệ trước đây là kênh đào Chợ Vải.,"['Đường Nguyễn Huệ là tuyến giao thông đường thủy nào?', 'Kênh Chợ Vải được sử dụng để làm gì?', 'Khi nào đường Nguyễn Huệ được đổi tên từ đại lộ Charner?']",1
79,Giá vé cho trẻ em có chiều cao dưới 1m là bao nhiêu?,Miễn phí,Miễn phí,"['Giá vé cho trẻ em cao từ 1m đến dưới 1m3 là bao nhiêu?', 'Giá vé cho người lớn và trẻ em cao từ 1m3 trở lên là bao nhiêu?', 'Có giá vé miễn phí cho trẻ em dưới 1m không?']",1
80,"Trước khi được xây dựng, Đầm Sen là một khu vực như thế nào?",Là một khu ruộng hoang đầm lầy và chứa các tệ nạn xã hội,"Đầm Sen trước khi được xây dựng là một khu ruộng hoang đầm lầy, chỉ toàn những đụn rau muống, rau ngổ, cây cỏ rậm rịt. Nơi đó cũng là nơi chứa các tệ nạn xã hội.","['Đầm Sen trước khi xây dựng là gì?', 'Khu vực Đầm Sen trước đây như thế nào?', 'Đầm Sen trước khi thành công viên là gì?']",1
81,Mái chùa Việt Nam Quốc Tự được xây dựng như thế nào?,"Mái chùa xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao, được điêu khắc đầu rồng rất tinh xảo","Mái chùa Việt Nam Quốc Tự được xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao, được điêu khắc đầu rồng rất tinh xảo. Kiến trúc tổng thể của ngôi chùa Việt Nam Quốc Tự trên khuôn viên 3.700 m2 bao gồm cổng tam quan, ngôi Chính điện, Tháp bảo 13 tầng, viện Đại học Phương Nam, cô nhi viện Quách Thị Trang và các điện thờ, tượng Phật trong khuôn viên sân chùa.","['Chùa Việt Nam Quốc Tự có diện tích bao nhiêu?', 'Các công trình kiến trúc lớn nhỏ trong khuôn viên chùa Việt Nam Quốc Tự gồm những gì?', 'Màu sắc chủ đạo của chùa Việt Nam Quốc Tự là gì?']",1
82,Bảo tàng Thành phố đã chọn lọc bao nhiêu hiện vật và ảnh tiêu biểu để trưng bày về cuộc kháng chiến chống Mỹ?,Bảo tàng Thành phố đã chọn lọc 481 hiện vật và 26 ảnh tiêu biểu.,Bảo tàng Thành phố đã chọn lọc 481 hiện vật và 26 ảnh tiêu biểu để trưng bày về cuộc kháng chiến chống Mỹ.,"['Bảo tàng Thành phố trưng bày về cuộc kháng chiến chống Mỹ bằng những hiện vật gì?', 'Bảo tàng Thành phố có bao nhiêu hiện vật và ảnh tiêu biểu về cuộc kháng chiến chống Mỹ?', 'Bảo tàng Thành phố trưng bày những gì về cuộc kháng chiến chống Mỹ?']",1
83,Tòa nhà Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh được xếp hạng là Di tích kiến trúc nghệ thuật cấp Quốc gia vào năm nào?,Năm 2020,Năm 2020,"['Tòa nhà Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh được xếp hạng là Di tích kiến trúc nghệ thuật cấp Quốc gia vào năm bao nhiêu?', 'Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh được xếp hạng là Di tích kiến trúc nghệ thuật cấp Quốc gia vào năm nào?', 'Năm nào Trụ sở Ủy ban nhân dân Thành phố Hồ Chí Minh được xếp hạng là Di tích kiến trúc nghệ thuật cấp Quốc gia?']",1
84,Tháp trên tòa nhà có đồng hồ không?,Có,"Có, trên tháp của tòa nhà có đồng hồ tròn.","['Tòa nhà có bao nhiêu tầng?', 'Tòa nhà có kiến trúc gì?', 'Tòa nhà nằm ở địa chỉ nào?']",1
85,Pháp viện Minh Đăng Quang được xây lên trên diện tích bao nhiêu?,62.000m2,Pháp viện Minh Đăng Quang được xây lên trên diện tích 62.000m2.,"['Pháp viện Minh Đăng Quang có diện tích bao nhiêu?', 'Kích thước của Pháp viện Minh Đăng Quang là bao nhiêu?', 'Pháp viện Minh Đăng Quang được xây dựng trên khu đất có diện tích bao nhiêu?']",1
86,Kỷ lục nào mà Pháp viện Minh Đăng Quang xác lập là lớn nhất?,Ngôi tịnh xá có bốn bảo tháp lớn nhất Việt Nam,Pháp viện Minh Đăng Quang xác lập nên kỷ lục Việt Nam về ngôi tịnh xá có bốn bảo tháp lớn nhất.,"['Pháp viện Minh Đăng Quang xác lập kỷ lục gì?', 'Pháp viện Minh Đăng Quang có kỷ lục gì?', 'Kỷ lục nào mà Pháp viện Minh Đăng Quang đạt được?']",1
87,Đảng Cộng sản Việt Nam được thành lập có ý nghĩa gì?,Có ý nghĩa đặc biệt quan trọng của cách mạng Việt Nam,"Đảng Cộng sản Việt Nam được thành lập vào ngày 3/2/1930. Đây là sự kiện lịch sử có ý nghĩa đặc biệt quan trọng của cách mạng Việt Nam. Đảng đã truyền bá sách báo tiến bộ, tổ chức các cuộc đấu tranh thu hút các tầng lớp đồng bào và đóng vai trò lãnh đạo trong cuộc Cách Mạng Tháng 8 năm 1945, đánh đổ chính quyền thực dân phong kiến, thành lập nước Việt Nam Dân chủ cộng hòa.","['Ngày thành lập Đảng Cộng sản Việt Nam là khi nào?', 'Đảng Cộng sản Việt Nam có vai trò gì trong cuộc Cách Mạng Tháng 8 năm 1945?', 'Đảng Cộng sản Việt Nam đã truyền bá những gì trong giai đoạn đầu thành lập?']",1
88,Phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 có bao nhiêu hiện vật?,Tổng cộng 301 hiện vật,"Bảo tàng Thành phố đã chọn lọc 481 hiện vật, 26 ảnh tiêu biểu chuyển tải các nội dung tại phòng số 6 (lầu 1) trong hệ thống trưng bày của Bảo tàng.","['Bảo tàng Thành phố đã chọn lọc bao nhiêu hiện vật trong phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954?', 'Có bao nhiêu hiện vật được trưng bày trong phòng số 6 của Bảo tàng Thành phố?', 'Số hiện vật được chọn lọc trong phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 là bao nhiêu?']",0
89,Phong trào đấu tranh tại Sài Gòn những năm 1950 diễn ra như thế nào?,Không có thông tin,"Phong trào đấu tranh tại Sài Gòn những năm 1950 diễn ra với sự tham gia của các tầng lớp nhân dân trong thành phố. Những hoạt động đấu tranh bao gồm tổ chức biểu tình, đình công, phá hoại cơ sở hạ tầng của thực dân Pháp và các lực lượng đồng minh. Các phong trào này đã góp phần quan trọng vào cuộc kháng chiến chống Mỹ, cứu nước và thống nhất đất nước.","['Cách mạng Tháng Tám tại Sài Gòn diễn ra như thế nào?', 'Phong trào đấu tranh tại Sài Gòn trong thời kỳ 1930-1954 có gì đặc biệt?', 'Bảo tàng TP.HCM có trưng bày những hiện vật nào về phong trào đấu tranh tại Sài Gòn?']",1
90,Đảng Cộng sản Việt Nam được thành lập vào ngày nào?,3/2/1930,Đảng Cộng sản Việt Nam được thành lập vào ngày 3/2/1930.,"['Đảng Cộng sản Việt Nam ra đời vào ngày nào?', 'Ngày thành lập của Đảng Cộng sản Việt Nam là khi nào?', 'Đảng Cộng sản Việt Nam được thành lập vào thời điểm nào?']",1
91,Nội dung nào được thể hiện qua phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954?,"Phong trào đấu tranh hưởng ứng Xô Viết Nghệ Tĩnh 1930 – 1931, Phong trào đấu tranh đòi quyền sinh dân chủ 1936 – 1939, Cuộc khởi nghĩa Nam Kỳ 23/11/1940, Cách mạng Tháng Tám tại Sài Gòn, Sài Gòn mở đầu kháng chiến, Phong trào đấu tranh tại Sài Gòn những năm 1950, Binh công xưởng Rừng Sác – Nam Bộ.",Phong trào đấu tranh tại đô thị Sài Gòn là nội dung được thể hiện qua phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954.,"['Các phong trào đấu tranh nào được thể hiện qua phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954?', 'Phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 thể hiện những gì?', 'Có những nội dung gì trong phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954?']",0
92,Phía sau tượng đài Bác Hồ là gì?,tấm bia ghi sự kiện Uỷ ban Hành chính lâm thời Nam Bộ ra mắt nhân dân thành phố sau thành công của Cách mạng tháng 8/1945,"Phía sau tượng đài Bác Hồ là các đền thờ, phủ thờ Bác Hồ.","['Có gì phía sau tượng đài Bác Hồ?', 'Sau tượng đài Bác Hồ có gì?', 'Có những công trình gì phía sau tượng đài Bác Hồ?']",1
93,Phố đi bộ Nguyễn Huệ sẽ được sử dụng để tổ chức những hoạt động gì?,"các buổi diễu hành, mít tinh, lễ hội đường phố, đường hoa, hoạt động triển lãm văn hóa, thể thao, biểu diễn nghệ thuật","Phố đi bộ Nguyễn Huệ sẽ được sử dụng để tổ chức các buổi diễu hành, mít tinh, lễ hội đường phố, đường hoa, hoạt động triển lãm văn hóa, thể thao, biểu diễn nghệ thuật,... của Thành phố.","['Các hoạt động nào được tổ chức trên phố đi bộ Nguyễn Huệ?', 'Phố đi bộ Nguyễn Huệ được sử dụng cho mục đích gì?', 'Những hoạt động nào diễn ra trên phố đi bộ Nguyễn Huệ?']",1
94,"Khu vui chơi, ăn uống của Landmark 81 có diện tích bao nhiêu?",Rộng hơn 700 m2,"Khu vui chơi, ăn uống của Landmark 81 có diện tích rộng hơn 700 m2.","['Landmark 81 có khu vui chơi và ăn uống không?', 'Diện tích của khu vui chơi, ăn uống ở Landmark 81 là bao nhiêu?', 'Có nhà hàng và quán bar ở Landmark 81 không?']",1
95,Giá vé vào công viên Landmark 81 là bao nhiêu?,Miễn phí,Công viên Landmark 81 là công viên công cộng nên mọi người có thể vào vui chơi hoàn toàn miễn phí.,"['Công viên Landmark 81 có phải trả vé không?', 'Giá vé vào công viên Landmark 81 là bao nhiêu?', 'Vào công viên Landmark 81 có phải trả tiền không?']",1
96,Quá trình nuôi dưỡng loài thú quý hiếm đòi hỏi những gì?,"Quá trình nuôi dưỡng loài thú quý hiếm đòi hỏi sự đầu tư nghiêm túc, từ khâu chọn lọc kỹ lưỡng và nhập thú về, tạo chuồng trại phù hợp với điều kiện sinh sống tự nhiên của thú cho đến việc chăm sóc và nuôi dưỡng hàng ngày.","Quá trình nuôi dưỡng loài thú quý hiếm đòi hỏi một sự đầu tư nghiêm túc, từ khâu chọn lọc kỹ lưỡng và nhập thú về, tạo chuồng trại phù hợp với điều kiện sinh sống tự nhiên của thú cho đến việc chăm sóc và nuôi dưỡng hàng ngày để thú có thể thích nghi tốt nhất với môi trường sống tại Việt Nam.","['Cách nuôi dưỡng loài thú quý hiếm như thế nào?', 'Quy trình nuôi dưỡng loài thú quý hiếm có khó không?', 'Loài thú quý hiếm được nuôi dưỡng như thế nào?']",1
97,Ai đã nhận được sự đồng tình ủng hộ của nhân dân các nước yêu chuộng hòa bình trong cuộc kháng chiến giành độc lập dân tộc?,Nhân dân Việt Nam,Nhân dân Việt Nam đã nhận được sự đồng tình ủng hộ của nhân dân các nước yêu chuộng hòa bình trên thế giới.,"['Ai đã ủng hộ Việt Nam trong cuộc kháng chiến giành độc lập dân tộc?', 'Các nước nào đã ủng hộ Việt Nam trong cuộc kháng chiến?', 'Nhân dân nước nào đã đồng tình ủng hộ Việt Nam trong cuộc kháng chiến?']",1
98,"Ở khu thiếu nhi của Công viên Văn hóa Đầm Sen, sân khấu Dế Mèn hoạt động vào những ngày nào trong tuần?",Thứ bảy và chủ nhật,Sân khấu Dế Mèn hoạt động vào các ngày trong tuần.,"['Sân khấu Dế Mèn hoạt động vào những ngày nào?', 'Các ngày trong tuần sân khấu Dế Mèn hoạt động?', 'Sân khấu Dế Mèn hoạt động vào những ngày nào trong tuần?']",0
99,Voi sống theo bầy đàn do ai dẫn dầu?,Voi sống theo bầy đàn do một voi cái lớn tuổi nhất dẫn dầu.,Voi sống theo bầy đàn do voi cái dẫn dầu.,"['Voi sống theo bầy đàn như thế nào?', 'Voi châu Á sống ở đâu?', 'Voi châu Á có bao nhiêu loài?']",1
