question,groundtruth,chatbot_response,similar_questions,accuracy
Ở Chiến khu Rừng Sác Cần Giờ có khoanh nuôi được bao nhiêu đàn khỉ?,hơn 1.000 con,Trong Chiến khu Rừng Sác Cần Giờ có khoảng nuôi hơn 1000 đàn khỉ với nhiều loài khác nhau.,"['Có bao nhiêu đàn khỉ ở Chiến khu Rừng Sác Cần Giờ?', 'Số lượng đàn khỉ ở Chiến khu Rừng Sác Cần Giờ là bao nhiêu?', 'Có bao nhiêu loài khỉ ở Chiến khu Rừng Sác Cần Giờ?']",1
Vị trí của khu du lịch sinh thái Vàm Sát nằm ở đâu?,"xã Lý Nhơn, huyện Cần Giờ, Thành phố Hồ Chí Minh","Khu du lịch sinh thái Vàm Sát nằm trên địa bàn xã Lý Nhơn, huyện Cần Giờ TP.HCM.","['Vị trí của khu du lịch sinh thái Vàm Sát là ở đâu?', 'Khu du lịch sinh thái Vàm Sát nằm ở địa chỉ nào?', 'Vàm Sát Ecopark nằm ở đâu?']",1
Vàm Sát được đọc trại từ tiếng khơ mer có nghĩa là gì?,ngã ba sông có nhiều cây Mấm,Vàm Sát được đọc trại từ tiếng khơ mer có nghĩa là rừng ngập mặn.,"['Vàm Sát có ý nghĩa gì trong tiếng khơ mer?', 'Vàm Sát có nghĩa là gì trong tiếng khơ mer?', 'Trại Vàm Sát có ý nghĩa gì trong tiếng khơ mer?']",0
Vàm Sát bắt đầu hình thành từ năm nào?,1979,Vàm Sát bắt đầu hình thành từ năm 1979.,"['Vàm Sát hình thành từ năm nào?', 'Khi nào Vàm Sát bắt đầu trở thành khu du lịch?', 'Vàm Sát được giao cho Phuthotourist quản lý từ năm nào?']",1
Ai được giao quản lý và khai thác Vàm Sát vào năm 1999?,Phuthotourist,Phuthotourist được giao quản lý và khai thác Vàm Sát vào năm 1999.,"['Ai được giao quản lý và khai thác Vàm Sát?', 'Vàm Sát được giao quản lý và khai thác bởi ai?', 'Năm 1999, ai được giao quản lý và khai thác Vàm Sát?']",1
"Ngoài khai thác du lịch, Vàm Sát còn có nhiệm vụ gì?",bảo tồn rừng và động vật,"Vàm Sát còn có nhiệm vụ bảo tồn rừng và động vật nơi đây. Du khách có thể thấy những con cá sấu Xiêm và cá sấu Hoa Cà được nuôi thả trong đầm lầy tự nhiên. Những loài khỉ đuôi dài hoang dã không sợ người lạ. Những đàn dơi nghệ thuộc loài quý hiếm trên thế giới sống bầy đàn trong rừng sâu, hay những giống chim quý sống tự nhiên trên những ngọn cây cao.","['Vàm Sát có nuôi những loài động vật gì?', 'Nhiệm vụ chính của Vàm Sát là gì?', 'Vàm Sát có công tác bảo tồn rừng không?']",1
Cái gì được nuôi thả trong đầm lầy tự nhiên ở Vàm Sát?,cá sấu Xiêm và cá sấu Hoa Cà,Cá sấu Xiêm và cá sấu Hoa Cà được nuôi thả trong đầm lầy tự nhiên ở Vàm Sát.,"['Cái gì được nuôi trong đầm lầy tự nhiên ở Vàm Sát?', 'Loài động vật nào được nuôi thả trong đầm lầy tự nhiên ở Vàm Sát?', 'Vật nuôi gì được thả vào đầm lầy tự nhiên ở Vàm Sát?']",1
Có loài khỉ nào không sợ người lạ ở Vàm Sát?,khỉ đuôi dài hoang dã,Những loài khỉ đuôi dài hoang dã không sợ người lạ.,"['Có loài động vật nào khác không sợ người lạ ở Vàm Sát?', 'Có những loài gì được bảo tồn ở Vàm Sát?', 'Vàm Sát có danh hiệu gì được tổ chức Du lịch thế giới công nhận?']",1
Những đàn dơi nghệ thuộc loài quý hiếm sống ở đâu?,trong rừng sâu,"Đàn dơi nghệ sống tại Đầm dơi nghệ, còn được gọi là Khu bảo tồn Dơi nghệ, tại Vàm Sát.","['Đàn dơi nghệ sống ở đâu?', 'Khu bảo tồn Dơi nghệ nằm ở đâu?', 'Có đàn dơi nghệ nào ở Vàm Sát không?']",1
Có gì sống tự nhiên trên những ngọn cây cao ở Vàm Sát?,giống chim quý,Những giống chim quý sống tự nhiên trên những ngọn cây cao ở Vàm Sát.,"['Có gì đặc biệt về động vật ở Vàm Sát?', 'Vàm Sát có gì thu hút du khách?', 'Vàm Sát là một trong 2 KHU DU LỊCH SINH THÁI BỀN VỮNG CỦA THẾ GIỚI tại Việt Nam, đúng không?']",1
Thảo Cầm Viên Sài Gòn có diện tích bao nhiêu?,17ha,Diện tích của Thảo Cầm Viên Sài Gòn là 17ha.,"['Thảo Cầm Viên Sài Gòn có bao nhiêu loài động vật?', 'Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là khi nào?', 'Giá vé vào Thảo Cầm Viên Sài Gòn là bao nhiêu?']",1
Thảo Cầm Viên Sài Gòn có bao nhiêu cá thể động vật?,Hơn 1000,Thảo Cầm Viên Sài Gòn có hơn 1000 cá thể động vật.,"['Thảo Cầm Viên Sài Gòn có bao nhiêu loài cây gỗ?', 'Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là khi nào?', 'Giá vé vào Thảo Cầm Viên Sài Gòn là bao nhiêu?']",1
Thảo Cầm Viên Sài Gòn có bao nhiêu loài cây gỗ?,Hơn 2000,Thảo Cầm Viên Sài Gòn có hơn 2000 cây gỗ thuộc 260 loài.,"['Thảo Cầm Viên Sài Gòn có diện tích bao nhiêu?', 'Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là khi nào?', 'Thảo Cầm Viên Sài Gòn có bao nhiêu loài động vật?']",1
Thảo Cầm Viên Sài Gòn là thành viên của hiệp hội vườn thú nào?,SEAZA,Thảo Cầm Viên Sài Gòn là thành viên chính thức của hiệp hội vườn thú Đông Nam Á (SEAZA).,"['Thảo Cầm Viên Sài Gòn có bao nhiêu loài động vật?', 'Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là khi nào?', 'Giá vé vào Thảo Cầm Viên Sài Gòn là bao nhiêu?']",1
Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là từ khi nào đến khi nào?,7:00 - 18:30,Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là từ 7:00 đến 18:30 mỗi ngày.,"['Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là bao lâu?', 'Thời gian mở cửa của Thảo Cầm Viên Sài Gòn là khi nào?', 'Thảo Cầm Viên Sài Gòn hoạt động từ mấy giờ đến mấy giờ?']",1
Giá vé vào Thảo Cầm Viên Sài Gòn cho trẻ em cao từ 1m3 trở lên là bao nhiêu?,50.000 đồng,Giá vé vào Thảo Cầm Viên Sài Gòn cho trẻ em cao từ 1m3 trở lên là 50.000 đồng.,"['Giá vé vào Thảo Cầm Viên Sài Gòn cho trẻ em cao từ 1m3 trở lên là bao nhiêu tiền?', 'Trẻ em cao từ 1m3 trở lên phải trả bao nhiêu tiền để vào Thảo Cầm Viên Sài Gòn?', 'Vé vào Thảo Cầm Viên Sài Gòn cho trẻ em cao từ 1m3 trở lên có giá bao nhiêu?']",1
Vườn Nhật Bản nằm trong cụm vườn hoa nào?,Nam tú thượng uyển Đầm Sen,Vườn Nhật Bản nằm trong cụm vườn hoa Nam tú thượng uyển Đầm Sen.,"['Vườn Nhật Bản nằm ở đâu?', 'Cụm vườn hoa nào chứa Vườn Nhật Bản?', 'Vườn Nhật Bản thuộc khu vực nào?']",1
Vườn Nhật Bản có kiến trúc đài gì trên mặt hồ?,Vọng nguyệt,Vườn Nhật Bản có kiến trúc đài vọng nguyệt trên mặt hồ.,"['Vườn Nhật Bản có những cây gì xung quanh đài vọng nguyệt?', 'Vườn Nhật Bản có diện tích bao nhiêu?', 'Vườn Nhật Bản có những dịch vụ gì khác ngoài cho thuê trang phục Nhật Bản?']",1
Thảo Cầm Viên có bao nhiêu đầu thú thuộc bao nhiêu loài?,590 đầu thú thuộc 125 loài,"Thảo Cầm Viên có nhiều đầu thú thuộc nhiều loài khác nhau, bao gồm tê giác trắng, linh dương sừng kiếm, linh dương sừng xoắn, linh dương đầu bò, linh dương Bles, hươu cao cổ, ngựa hoang, hà mã, hà mã lùn, cò đỏ, vượn cáo, khỉ râu trắng, khỉ sóc và nhiều loài khác.","['Thảo Cầm Viên có những loài thú gì?', 'Có bao nhiêu loài thú ở Thảo Cầm Viên?', 'Thảo Cầm Viên có những loài động vật nào?']",0
Thảo Cầm Viên có bao nhiêu loài cây gỗ?,1.800 cây gỗ thuộc 260 loài,Thảo Cầm Viên có hơn 2000 cây gỗ thuộc 260 loài.,"['Thảo Cầm Viên có bao nhiêu loài động vật?', 'Thời gian hoạt động của Thảo Cầm Viên là khi nào?', 'Giá vé vào Thảo Cầm Viên là bao nhiêu?']",1
Thảo Cầm Viên có vai trò gì?,"Giáo dục, bảo tồn và nghiên cứu","Thảo Cầm Viên có vai trò quan trọng trong việc giáo dục, bảo tồn và nghiên cứu về tự nhiên, cũng như là công viên vui chơi giải trí ưa thích nhất của người dân thành phố Hồ Chí Minh và các tỉnh thành khác.","['Thảo Cầm Viên có lịch sử lâu đời không?', 'Thảo Cầm Viên có bao nhiêu loài động vật?', 'Thảo Cầm Viên có thuộc hiệp hội vườn thú Đông Nam Á không?']",1
Bến Nhà Rồng còn được biết đến là gì?,Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh.,Bến Nhà Rồng còn được biết đến là Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh.,"['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những gì?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có địa chỉ gì?']",1
"Trước đây, toà nhà Bến Nhà Rồng là trụ sở của công ty nào?",Tổng Công ty Vận tải Hoàng đế (Pháp).,Toà nhà Bến Nhà Rồng trước đây là trụ sở của Tổng Công ty Vận tải Hoàng đế (Pháp).,"['Bến Nhà Rồng trước đây là trụ sở của công ty nào?', 'Toà nhà Bến Nhà Rồng trước đây thuộc sở hữu của ai?', 'Công ty nào đã sử dụng toà nhà Bến Nhà Rồng trước đây?']",1
"Vào năm 1911, Nguyễn Tất Thành đã lên con tàu nào để bắt đầu chuyến hành trình tìm đường cứu nước?",Amiral Latouche Tréville.,Nguyễn Tất Thành đã lên con tàu Amiral Latouche Tréville để bắt đầu chuyến hành trình tìm đường cứu nước.,"['Nguyễn Tất Thành đã lên con tàu nào vào năm 1911?', 'Nguyễn Tất Thành đã bắt đầu chuyến hành trình tìm đường cứu nước từ đâu?', 'Năm 1911, Nguyễn Tất Thành đã lên tàu đi đâu?']",1
Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những gì?,"Bộ sưu tập hiện vật, tư liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh.","Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những bộ sưu tập hiện vật, tài liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh, vị lãnh tụ vĩ đại của dân tộc Việt Nam. Ngoài ra, bảo tàng còn trưng bày 208 hình ảnh, tài liệu và hiện vật về Bác Hồ với miền Nam, miền Nam với Bác Hồ.","['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những hiện vật gì?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có gì đặc biệt?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?']",1
Địa chỉ của Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh là gì?,"1 Nguyễn Tất Thành, Phường 12, Quận 4.","Địa chỉ của Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh là số 65, đường Lý Tự Trọng, Phường Bến Nghé, Quận 1.","['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có địa chỉ gì?', 'Địa chỉ của Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh là gì?']",0
Công trình này bao gồm những yếu tố gì?,"Một vòng xoay giao thông, cây xanh, hồ phun nước, tượng con rùa","Công trình này bao gồm tượng đài và công viên, với các hạng mục điêu khắc như nhóm tượng người mẹ và chiến sĩ, quần thể tượng Trung dũng kiên cường toàn dân đánh giặc, 8 trụ rồng và 2 tranh hoành tráng: sản xuất – chiến đấu, tranh sen Tháp Mười, phối hợp với hồ phun nước nghệ thuật và 02 phòng trưng bày sự kiện lịch sử.","['Công trình này được xây dựng vào năm nào?', 'Ai là người thiết kế công trình này?', 'Diện tích của công trình này là bao nhiêu?']",1
Tại sao công trình này được gọi là Hồ Con Rùa?,Do có tượng con rùa và hồ phun nước hình bát giác,Công trình này được gọi là Hồ Con Rùa do có tượng con rùa đỡ trên lưng bia đá lớn và được trang trí bởi cây xanh và hồ phun nước hình bát giác lớn.,"['Tại sao Hồ Con Rùa lại có tên gọi dân gian như vậy?', 'Tại sao Hồ Con Rùa lại có tượng con rùa?', 'Công trình Hồ Con Rùa có ý nghĩa gì?']",1
Công trường này ban đầu được đặt tên là gì?,Công trường Chiến sĩ Tự do,Công trường này ban đầu được đặt tên là Công trường Chiến sĩ Tự do.,"['Tên gọi dân gian của công trường này là gì?', 'Khi nào công trường này đổi tên thành Công trường Quốc tế?', 'Tại sao công trường này được gọi là Hồ Con Rùa?']",1
Cầu Sài Gòn được xây dựng từ năm nào?,Từ tháng 11 năm 1958 đến ngày 28 tháng 6 năm 1961,Cầu Sài Gòn được xây dựng vào năm 1890.,"['Cầu Sài Gòn được xây dựng vào năm nào?', 'Khi nào cầu Sài Gòn được xây dựng?', 'Năm nào cầu Sài Gòn được khánh thành?']",0
Cầu Sài Gòn nối đường nào với đường nào?,Nối đường Điện Biên Phủ (quận Bình Thạnh) với Xa lộ Hà Nội (thành phố Thủ Đức),"Cầu Sài Gòn nối đường Điện Biên Phủ (quận Bình Thạnh) với Xa lộ Hà Nội (thành phố Thủ Đức), Thành phố Hồ Chí Minh.","['Cầu Sài Gòn nối quận nào với quận nào?', 'Cầu Sài Gòn nối đường nào với đường nào?', 'Cầu Sài Gòn nối thành phố nào với thành phố nào?']",1
Ngày nào Đảng Cộng sản Việt Nam được thành lập?,3/2/1930,Ngày 3/2/1930,"['Đảng Cộng sản Việt Nam được thành lập vào ngày nào?', 'Ngày thành lập của Đảng Cộng sản Việt Nam là khi nào?', 'Đảng Cộng sản Việt Nam ra đời vào ngày nào?']",1
Địa bàn chủ yếu hoạt động của Ban Chấp hành Trung ương Đảng là ở đâu?,Thành phố,Địa bàn chủ yếu hoạt động của Ban Chấp hành Trung ương Đảng là ở Thành phố Hồ Chí Minh.,"['Ban Chấp hành Trung ương Đảng hoạt động chủ yếu ở đâu?', 'Ban Chấp hành Trung ương Đảng hoạt động ở thành phố nào?', 'Ban Chấp hành Trung ương Đảng hoạt động chủ yếu ở địa điểm nào?']",1
Ai làm Bí thư của Ban lâm thời chấp ủy Đảng bộ Sài Gòn?,Nguyễn Văn Lợi (Hữu Dũng),Đồng chí Trần Văn Kiểu,"['Ai làm Bí thư của Ban lâm thời chấp ủy Đảng bộ Sài Gòn?', 'Ai là người đứng đầu Ban lâm thời chấp ủy Đảng bộ Sài Gòn?', 'Ai là người đảm nhận vai trò Bí thư của Ban lâm thời chấp ủy Đảng bộ Sài Gòn?']",0
Phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 nằm ở đâu?,Phòng số 5 (lầu 1) của Bảo tàng Thành phố,Phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 nằm tại Bảo tàng TP.HCM.,"['Bảo tàng TP.HCM có phòng trưng bày đấu tranh cách mạng giai đoạn nào?', 'Bảo tàng TP.HCM có bao nhiêu phòng trưng bày đấu tranh cách mạng?', 'Phòng trưng bày đấu tranh cách mạng giai đoạn 1930 – 1954 nằm ở thành phố nào?']",1
Bảo tàng Tôn Đức Thắng được thành lập nhân kỷ nhiệm lần thứ mấy ngày sinh chủ tịch?,100,Lần thứ 100,"['Bảo tàng Tôn Đức Thắng được thành lập vào năm nào?', 'Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?', 'Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày?']",1
GEM Center nằm ở đâu?,"08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","GEM Center nằm ở địa chỉ 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","['GEM Center có không gian sảnh dành cho sự kiện lớn nhất ở đâu?', 'GEM Center có thể làm phòng hội thảo ở đâu?', 'GEM Center có không gian choáng ngợp cho dạ tiệc ở đâu?']",1
GEM Center có thể được sử dụng cho những loại sự kiện nào?,"GEM Center có thể là phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc, sân khấu âm nhạc, sàn diễn thời trang","GEM Center có thể được sử dụng cho nhiều loại sự kiện như phòng hội thảo, triển lãm, dạ tiệc, sân khấu âm nhạc và sàn diễn thời trang.","['GEM Center có thể tổ chức những buổi hội thảo lớn không?', 'GEM Center có không gian cho triển lãm không?', 'GEM Center có tổ chức dạ tiệc không?']",1
Các quán cafe đẹp tại Landmark 81 bao gồm những quán nào?,"Blank Lounge Landmark 81, Cafe Runam, Starbucks Coffee Landmark 81, Phuc Long, Highlands Coffee Landmark 81, Miwaku Cafe Lounge",Landmark 81 có hai quán cafe đẹp là Miwaku Cafe Lounge ở tầng 79 và Miwaku Premium ở tầng 80.,"['Có quán cafe nào ở Landmark 81 không?', 'Landmark 81 có không gian cafe ngoài trời không?', 'Quán cafe nào ở Landmark 81 được đánh giá đẹp nhất?']",0
Bến Nhà Rồng được biết đến là Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh của công ty nào?,Bến Nhà Rồng trước đây là trụ sở của Tổng Công ty Vận tải Hoàng đế (Pháp),Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh được đặt trong toà nhà trước đây là trụ sở của Tổng Công ty Vận tải Hoàng đế (Pháp).,"['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh thuộc công ty nào?', 'Toà nhà trước đây là trụ sở của Tổng Công ty Vận tải Hoàng đế (Pháp) đã được sử dụng làm gì?']",1
Nguyễn Tất Thành đã lên con tàu nào để bắt đầu chuyến hành trình tìm đường cứu nước?,Nguyễn Tất Thành đã lên con tàu Amiral Latouche Tréville,Nguyễn Tất Thành đã lên con tàu Amiral Latouche Tréville để bắt đầu chuyến hành trình tìm đường cứu nước.,"['Nguyễn Tất Thành đã lên con tàu nào để khởi đầu cuộc hành trình tìm đường cứu nước?', 'Nguyễn Tất Thành đã lên tàu nào để bắt đầu cuộc hành trình tìm đường cứu nước?', 'Con tàu nào đã đưa Nguyễn Tất Thành đi tìm đường cứu nước?']",1
Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những gì?,"Bảo tàng trưng bày và giới thiệu những bộ sưu tập hiện vật, tư liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh","Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những bộ sưu tập hiện vật, tài liệu hồi ký về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh, vị lãnh tụ vĩ đại của dân tộc Việt Nam. Ngoài ra, bảo tàng còn trưng bày 208 hình ảnh, tài liệu và hiện vật về Bác Hồ với miền Nam, miền Nam với Bác Hồ.","['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những hiện vật gì?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có gì đặc biệt?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?']",1
Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?,"1 Nguyễn Tất Thành, Phường 12, Quận 4","Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm tại địa chỉ 1 Nguyễn Tất Thành, Phường 12, Quận 4.","['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở địa chỉ nào?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh đặt ở đâu?', 'Địa chỉ của Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh là gì?']",1
Ngô Quyền là vị vua nào lập triều Ngô?,Ngô Quyền,Ngô Quyền là vị vua lập triều Ngô.,"['Ai là người lập triều Ngô?', 'Triều đại nào Ngô Quyền lên ngôi vua?', 'Ngô Quyền đặt đô ở đâu?']",1
Ngô Quyền đặt đô ở đâu?,Cổ Loa,Ngô Quyền đặt đô ở Cổ Loa.,"['Ai là người đặt đô ở Cổ Loa?', 'Triều đại nào đặt đô ở Cổ Loa?', 'Địa điểm nào là nơi đặt đô của Ngô Quyền?']",1
Ai lên ngôi vua sau khi Ngô Quyền mất?,Đinh Bộ Lĩnh,Đinh Bộ Lĩnh lên ngôi vua sau khi Ngô Quyền mất.,"['Ai là người kế vị sau Ngô Quyền?', 'Ai là vị vua tiếp theo sau Ngô Quyền?', 'Ai lên ngôi vua sau khi Ngô Quyền qua đời?']",1
Triều Đinh lấy quốc hiệu là gì?,Đại Cồ Việt,Quốc hiệu của triều Đinh là Đại Cồ Việt.,"['Triều Đinh đặt quốc hiệu là gì?', 'Quốc hiệu của triều Đinh là gì?', 'Triều Đinh lấy tên gọi nước là gì?']",1
Ai lên ngôi vua sau triều Đinh?,Lê Hoàn,Lê Hoàn lên ngôi vua sau triều Đinh.,"['Ai là người kế vị sau triều Đinh?', 'Triều đại nào lên ngôi sau triều Đinh?', 'Ai là vị vua tiếp theo sau triều Đinh?']",1
Bến Nhà Rồng được biết đến là Bảo tàng gì?,Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh,Bến Nhà Rồng được biết đến là Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh.,"['Bảo tàng gì được đặt trong toà nhà Bến Nhà Rồng?', 'Bảo tàng nào nằm tại địa chỉ 1 Nguyễn Tất Thành, Phường 12, Quận 4?', 'Bảo tàng nào trưng bày về thân thế sự nghiệp của Chủ tịch Hồ Chí Minh?']",1
Ai đã lên tàu Amiral Latouche Tréville để tìm đường cứu nước?,Nguyễn Tất Thành,Nguyễn Tất Thành đã lên tàu Amiral Latouche Tréville để tìm đường cứu nước.,"['Ai đã lên tàu Amiral Latouche Tréville để khởi đầu cuộc hành trình tìm đường cứu nước?', 'Tại sao Nguyễn Tất Thành lên tàu Amiral Latouche Tréville?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?']",1
Bác Hồ luôn dành tình cảm thiêng liêng cho đồng bào ở đâu?,Miền Nam,Bác Hồ luôn dành tình cảm thiêng liêng cho đồng bào miền Nam.,"['Bác Hồ dành tình cảm thiêng liêng cho ai?', 'Bác Hồ quan tâm đến đồng bào ở đâu?', 'Bác Hồ có tình cảm đặc biệt với miền Nam không?']",1
Áo dài năm thân gồm bao nhiêu khổ vải?,Áo dài năm thân gồm 2 khổ vải.,Áo dài năm thân gồm 2 khổ vải.,"['Áo dài năm thân được may từ những năm nào?', 'Ai là người sáng tạo ra áo dài năm thân?', 'Áo dài năm thân được làm từ chất liệu gì?']",1
Áo dài thời kỳ nào được thêu tay hoặc may bằng vải dệt hình công?,Áo dài thời kỳ triều Nguyễn được thêu tay hoặc may bằng vải dệt hình công.,Áo dài thời kỳ triều Nguyễn được thêu tay hoặc may bằng vải dệt hình công.,"['Áo dài thời kỳ nào được may bằng vải dệt hình công?', 'Áo dài thời kỳ nào được thêu tay?', 'Áo dài thời kỳ nào sử dụng vải dệt hình công?']",1
Bảo tàng Áo Dài được xây dựng sau bao nhiêu năm nghiên cứu và sưu tầm hiện vật?,Bảo tàng Áo Dài được xây dựng sau 12 năm nghiên cứu và sưu tầm hiện vật.,Bảo tàng Áo Dài được xây dựng sau 12 năm nghiên cứu và sưu tầm hiện vật.,"['Bảo tàng Áo Dài xây dựng trong bao lâu?', 'Bao lâu để xây dựng Bảo tàng Áo Dài?', 'Bảo tàng Áo Dài mất bao nhiêu thời gian để hoàn thành?']",1
Chi nhánh 1 của Bảo tàng Áo Dài có diện tích bao nhiêu?,Chi nhánh 1 của Bảo tàng Áo Dài có diện tích 2.000m2.,Chi nhánh 1 của Bảo tàng Áo Dài có diện tích 2.000m2.,"['Bảo tàng Áo Dài có diện tích bao nhiêu?', 'Diện tích của chi nhánh 1 Bảo tàng Áo Dài là bao nhiêu?', 'Kích thước của chi nhánh 1 Bảo tàng Áo Dài là bao nhiêu?']",1
Chi nhánh 1 của Bảo tàng Áo Dài có kiến trúc như thế nào?,Chi nhánh 1 của Bảo tàng Áo Dài có kiến trúc nhà rường xưa bằng gỗ quý.,"Chi nhánh 1 của Bảo tàng Áo Dài có kiến trúc nhà rường xưa bằng gỗ quý được sưu tầm từ vùng đất Quảng Nam, do chính các nghệ nhân làng mộc Kim Bồng phục hiện chuyên trưng bày, bảo quản và nghiên cứu, sưu tầm, lưu trữ những tư liệu, hình ảnh, hiện vật về Áo Dài Việt Nam từ lúc hình thành, gắn liền lịch sử dựng nước và giữ nước của những người phụ nữ Việt Nam lẫy lừng trong quân sự, ngoại giao, xã hội, văn hóa, giáo dục, thương mại, nghệ thuật, ...","['Bảo tàng Áo Dài có kiến trúc như thế nào?', 'Chi nhánh 1 của Bảo tàng Áo Dài được xây dựng từ vật liệu gì?', 'Ai là người phụ trách trưng bày và bảo quản hiện vật tại chi nhánh 1 của Bảo tàng Áo Dài?']",1
Bảo tàng Áo Dài có trưng bày những tư liệu về Áo Dài từ lúc nào?,"Bảo tàng Áo Dài trưng bày những tư liệu về Áo Dài từ lúc hình thành, gắn liền lịch sử dựng nước và giữ nước của những người phụ nữ Việt Nam.","Bảo tàng Áo Dài trưng bày những tư liệu về Áo Dài từ lúc hình thành, gắn liền lịch sử dựng nước và giữ nước của những người phụ nữ Việt Nam lẫy lừng trong quân sự, ngoại giao, xã hội, văn hóa, giáo dục, thương mại, nghệ thuật, ...","['Bảo tàng Áo Dài có bao nhiêu chi nhánh?', 'Bảo tàng Áo Dài ở đâu?', 'Bảo tàng Áo Dài hoạt động vào thời gian nào?']",1
Chi nhánh 2 của Bảo tàng Áo Dài có chương trình gì dành cho du khách?,Chi nhánh 2 của Bảo tàng Áo Dài có chương trình biểu diễn văn hóa nghệ thuật Việt Nam dành cho du khách.,Chi nhánh 2 của Bảo tàng Áo Dài có chương trình biểu diễn văn hóa nghệ thuật Việt Nam dành cho du khách.,"['Bảo tàng Áo Dài có chương trình gì?', 'Bảo tàng Áo Dài có gì đặc biệt?', 'Bảo tàng Áo Dài ở đâu?']",1
"Chuyên đề nào gồm 100 ảnh, 10 tài liệu và 20 hiện vật?",Chuyên đề: Việt Nam - Chiến tranh và Hòa bình,"Chuyên đề 'Bộ sưu tập pháo' gồm 100 ảnh, 10 tài liệu và 20 hiện vật.","['Bộ sưu tập pháo có bao nhiêu hiện vật?', ""Có bao nhiêu ảnh trong chuyên đề 'Bộ sưu tập pháo'?"", ""Có bao nhiêu tài liệu trong chuyên đề 'Bộ sưu tập pháo'?""]",1
